City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,50.32,38,100,4.61,US,1683663424
1,gryfino,53.2524,14.4883,57.96,59,0,16.8,PL,1683663478
2,thompson,55.7435,-97.8558,69.96,43,75,6.91,CA,1683663479
3,puerto ayora,-0.7393,-90.3518,82.36,92,100,8.99,EC,1683663479
4,klaksvik,62.2266,-6.589,49.12,86,79,1.01,FO,1683663479
5,hawaiian paradise park,19.5933,-154.9731,73.04,96,100,4.61,US,1683663479
6,blackmans bay,-43.0167,147.3167,48.72,84,67,10.65,AU,1683663479
7,kapa'a,22.0752,-159.319,75.52,86,100,14.97,US,1683663252
8,akureyri,65.6835,-18.0878,42.73,87,75,10.36,IS,1683663480
9,lazaro cardenas,17.9583,-102.2,88.79,54,0,12.75,MX,1683663412
10,ancud,-41.8697,-73.8203,55.9,85,64,3.58,CL,1683663480
11,puerto natales,-51.7236,-72.4875,45.05,61,0,8.05,CL,1683663480
12,galesong,-5.3166,119.3661,78.82,87,100,6.17,ID,1683663480
13,ushuaia,-54.8,-68.3,42.42,60,20,3.44,AR,1683663368
14,lamu,-2.2717,40.902,79.02,80,22,14.58,KE,1683663481
15,margaret river,-33.95,115.0667,62.08,88,100,21.88,AU,1683663348
16,iqaluit,63.7506,-68.5145,31.73,64,20,3.44,CA,1683663358
17,west island,-12.1568,96.8225,82.38,89,75,16.11,CC,1683663481
18,acarau,-2.8856,-40.12,81.18,82,90,10.51,BR,1683663482
19,colonia,50.9333,6.95,57.96,90,100,8.05,DE,1683663482
20,udachny,66.4167,112.4,26.46,79,23,22.19,RU,1683663482
21,olonkinbyen,70.9221,-8.7187,36.25,100,100,9.04,SJ,1683663351
22,westport,41.1415,-73.3579,70.9,33,0,6.91,US,1683663420
23,quezon,7.7303,125.0989,72.82,94,37,2.08,PH,1683663482
24,port-vila,-17.7338,168.3219,74.8,88,75,2.3,VU,1683663483
25,boda,4.3189,17.4695,72.64,89,100,3.36,CF,1683663483
26,iskateley,67.6803,53.1512,30.4,89,100,9.89,RU,1683663351
27,ribeira grande,38.5167,-28.7,64.8,94,75,18.01,PT,1683663483
28,invercargill,-46.4,168.35,41.41,93,45,6.89,NZ,1683663387
29,agat village,13.3886,144.6585,80.71,92,40,6.91,GU,1683663416
30,malango,-2.9627,119.9001,68.14,98,96,2.04,ID,1683663484
